Iteration	Y	var_1	var_2	var_3	var_4	var_5
1.0	0.18346253229974163	0.25863305	20.0	30.0	2.0	2.0
2.0	0.15245478036175708	0.73705968	60.0	60.0	3.0	5.0
3.0	0.42377260981912146	0.9027044213298491	10.0	10.0	2.0	1.0
4.0	0.5762273901808785	0.9027044213298491	10.0	20.0	2.0	5.0
5.0	0.22997416020671835	0.9027044213298491	10.0	30.0	5.0	1.0
6.0	0.4470284237726099	0.9027044213298491	10.0	40.0	2.0	1.0
7.0	0.47545219638242897	0.9027044213298491	10.0	50.0	2.0	4.0
8.0	0.4780361757105943	0.9027044213298491	10.0	60.0	2.0	1.0
9.0	0.5064599483204134	0.9027044213298491	10.0	70.0	2.0	4.0
10.0	0.4444444444444444	0.9027044213298491	10.0	80.0	2.0	1.0
11.0	0.4935400516795866	0.9027044213298491	10.0	90.0	2.0	4.0
12.0	0.27648578795967793	0.9027044213298491	10.0	100.0	2.0	1.0
