Iteration	Y	var_1	var_2	var_3	var_4	var_5
1.0	0.16279069767441856	0.25863305	20.0	30.0	2.0	2.0
2.0	0.18604651147388984	0.73705968	60.0	60.0	3.0	5.0
3.0	0.21705426356589153	0.6514990955471036	30.0	50.0	2.0	2.0
4.0	0.29457364325683555	0.16442267382403783	10.0	30.0	2.0	2.0
5.0	0.16537467700258401	0.5191876754791964	40.0	90.0	2.0	3.0
6.0	0.30490956072351416	0.6810654390151607	10.0	90.0	4.0	3.0
7.0	0.3979328165374677	0.3232582949227061	10.0	100.0	5.0	3.0
8.0	0.18604651162790697	0.24397375120759102	25.0	10.0	3.0	2.0
9.0	0.11627906976744184	0.27934475940459047	35.0	30.0	4.0	3.0
10.0	0.2041343669250646	0.267805272622949	15.0	40.0	5.0	3.0
11.0	0.5322997416020672	0.8759956853013525	10.0	40.0	2.0	5.0
12.0	0.1989664082687338	0.7826030742016272	40.0	100.0	2.0	5.0
